2017-11-13 05:18:49 | -=< Temperature Logger Restart >=-
2017-11-13 21:19:03 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 21:20:04 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 21:23:06 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 21:24:07 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 21:28:10 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 21:32:13 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 21:33:14 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 21:40:22 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 21:47:27 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 21:53:35 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 21:54:36 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 21:55:36 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 21:55:37 | TEMPLOG : Table    One | 048.200
2017-11-13 21:56:38 | TEMPLOG : Table    One | 049.100
2017-11-13 21:57:38 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 22:00:41 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 22:00:41 | TEMPLOG : To   GeoLoop | 054.500
2017-11-13 22:00:41 | TEMPLOG : Table    One | 049.100
2017-11-13 22:03:43 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 22:03:44 | TEMPLOG : Table    One | 048.200
2017-11-13 22:04:44 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 22:04:45 | TEMPLOG : Table    One | 049.100
2017-11-13 22:05:45 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 22:06:46 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 22:06:46 | TEMPLOG : Table    One | 048.200
2017-11-13 22:07:47 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 22:07:48 | TEMPLOG : Table    One | 049.100
2017-11-13 22:08:49 | TEMPLOG : Table    One | 048.200
2017-11-13 22:09:49 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 22:10:50 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 22:10:51 | TEMPLOG : Table    One | 049.100
2017-11-13 22:11:51 | TEMPLOG : Table    One | 048.200
2017-11-13 22:13:53 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 22:16:56 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 22:22:01 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 22:23:02 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 22:26:04 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 22:31:09 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 22:32:11 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 22:33:11 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 22:38:17 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 22:42:21 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 22:44:24 | TEMPLOG : WellhouseOne | 043.700
2017-11-13 22:51:31 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 22:59:38 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 23:00:39 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 23:00:39 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 23:00:40 | TEMPLOG : Table    One | 048.200
2017-11-13 23:01:40 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 23:02:42 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 23:03:43 | TEMPLOG : WellhouseOne | 050.900
2017-11-13 23:04:45 | TEMPLOG : WellhouseOne | 050.000
2017-11-13 23:06:47 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 23:08:48 | TEMPLOG : WellhouseOne | 048.200
2017-11-13 23:09:49 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 23:14:53 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 23:15:55 | TEMPLOG : Table    One | 047.300
2017-11-13 23:16:56 | TEMPLOG : Table    One | 048.200
2017-11-13 23:18:58 | TEMPLOG : Table    One | 047.300
2017-11-13 23:21:00 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 23:25:04 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 23:25:04 | TEMPLOG : Table    One | 048.200
2017-11-13 23:26:04 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 23:26:05 | TEMPLOG : Table    One | 047.300
2017-11-13 23:27:05 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 23:34:11 | TEMPLOG : To   GeoLoop | 053.600
2017-11-13 23:35:12 | TEMPLOG : To   GeoLoop | 052.700
2017-11-13 23:38:15 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 23:39:17 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 23:40:18 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 23:42:20 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 23:43:20 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 23:44:21 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 23:45:22 | TEMPLOG : WellhouseOne | 049.100
2017-11-13 23:46:23 | TEMPLOG : WellhouseOne | 050.900
